Кол-во комнат,Район,Этажность,Общая площадь,Жилая площадь,Площадь кухни,Планировка,Цена
1,"Автозаводский, 4 квартал",3/9,33,18,7,МСК/ПАН,2180 тыс. pуб.
1,"Автозаводский, 2 квартал",6/9,33,18,7,СТМ/ПАН,2180 тыс. pуб.
1,"Автозаводский, 11 квартал",1/16,32,0,8,ТАШ/ПАН,2190 тыс. pуб.
1,"Автозаводский, 17 квартал",4/9,29,14,8,УЛЬ/ПАН,2199 тыс. pуб.
1,"Автозаводский, 1 квартал",5/5,32,17,6,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 1 квартал",2/5,32,17,6,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 5 квартал",10/19,22,14,0,МОН/МОН,2200 тыс. pуб.
1,"Автозаводский, 5 квартал",3/5,31,17,7,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 4 квартал",4/5,32,17,7,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 2 квартал",2/9,32,19,7,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 10 квартал",2/9,30,17,7,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 10 квартал",1/9,30,17,7,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 10 квартал",1/9,30,17,8,ЭКС/ПАН,2200 тыс. pуб.
1,"Автозаводский, 10 квартал",11/12,33,17,8,ТАШ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 9 квартал",1/5,31,17,6,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 8 квартал",4/16,32,17,8,ТАШ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 7 квартал",1/9,33,17,7,СТМ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 7 квартал",10/16,32,17,8,ТАШ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 7 квартал",12/16,31,18,8,ТАШ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 17 квартал",2/9,30,14,9,УЛЬ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 15 квартал",2/16,31,0,0,ТАШ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 13 квартал",8/9,34,17,8,МСК/ПАН,2200 тыс. pуб.
1,"Автозаводский, 13 квартал",4/16,33,17,8,ТАШ/ПАН,2200 тыс. pуб.
1,"Автозаводский, 3Б квартал",2/12,27,19,0,УЛУ/КИР,2240 тыс. pуб.
1,"Автозаводский, 17 квартал",2/10,30,15,7,УЛЬ/ПАН,2249 тыс. pуб.
1,"Автозаводский, 1 квартал",2/5,32,17,7,СТМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 5 квартал",1/5,31,17,7,СТМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 5 квартал",5/5,32,17,8,СТМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 4 квартал",2/9,33,0,0,МСК/ПАН,2250 тыс. pуб.
1,"Автозаводский, 2 квартал",6/9,32,18,0,СТМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 10 квартал",2/5,32,17,7,СТМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 10 квартал",1/12,34,17,9,ОЛМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 10 квартал",4/5,32,0,0,СТМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 10 квартал",6/12,34,19,10,ОЛМ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 14 квартал",7/9,33,17,8,МСК/КИР,2250 тыс. pуб.
1,"Автозаводский, 12 квартал",11/12,32,17,8,ТАШ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 12 квартал",1/9,33,17,9,МСК/ПАН,2250 тыс. pуб.
1,"Автозаводский, 12 квартал",12/12,32,17,8,ТАШ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 12 квартал",7/12,32,17,8,ТАШ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 12 квартал",12/12,32,17,8,ТАШ/ПАН,2250 тыс. pуб.
1,"Автозаводский, 20 квартал",9/9,31,13,9,МСК/ПАН,2250 тыс. pуб.
1,"Автозаводский, 6А квартал",2/3,35,22,9,УЛУ/КИР,2253 тыс. pуб.
1,"Автозаводский, 2 квартал",5/9,33,19,7,СТМ/ПАН,2260 тыс. pуб.
1,"Автозаводский, 2 квартал",6/9,33,17,7,СТМ/ПАН,2260 тыс. pуб.
1,"Автозаводский, 5 квартал",13/16,31,18,8,ТАШ/ПАН,2270 тыс. pуб.
1,"Автозаводский, 4 квартал",4/5,31,17,7,СТМ/ПАН,2270 тыс. pуб.
1,"Автозаводский, 17 квартал",7/9,29,14,8,УЛЬ/ПАН,2299 тыс. pуб.
1,"Автозаводский, 2 квартал",2/9,34,18,7,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 5 квартал",4/5,34,17,7,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 5 квартал",5/5,32,17,7,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 3Б квартал",5/5,38,20,8,УЛУ/КИР,2300 тыс. pуб.
1,"Автозаводский, 3А квартал",2/5,30,17,6,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 2 квартал",6/9,33,0,0,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 11 квартал",1/9,34,17,8,МСК/ПАН,2300 тыс. pуб.
1,"Автозаводский, 11 квартал",2/16,32,17,8,ТАШ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 11 квартал",3/16,34,17,9,ТАШ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 9 квартал",5/5,31,17,7,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 10 квартал",8/9,33,17,9,МСК/ПАН,2300 тыс. pуб.
1,"Автозаводский, 7 квартал",8/9,32,17,7,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 7 квартал",5/5,31,17,6,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 7 квартал",8/9,33,19,7,СТМ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 17 квартал",1/9,38,18,10,УЛЬ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 15 квартал",12/16,32,17,8,ТАШ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 15 квартал",5/16,38,17,9,ТАШ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 14А квартал",2/17,25,18,3,УЛУ/КИР,2300 тыс. pуб.
1,"Автозаводский, 13 квартал",14/16,32,19,8,ТАШ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 12 квартал",9/16,31,17,8,ТАШ/ПАН,2300 тыс. pуб.
1,"Автозаводский, 20 квартал",9/9,28,16,8,МСК/ПАН,2300 тыс. pуб.
1,"Автозаводский, 19 квартал",8/9,30,13,9,МСК/ПАН,2300 тыс. pуб.
1,"Автозаводский, 18Б квартал",17/26,42,18,10,УЛУ/КИР,2320 тыс. pуб.
1,"Автозаводский, 18Б квартал",17/26,42,18,10,УЛУ/КИР,2320 тыс. pуб.
1,"Автозаводский, 18Б квартал",17/26,42,18,10,УЛУ/КИР,2320 тыс. pуб.
1,"Автозаводский, 18Б квартал",17/26,41,18,10,УЛУ/КИР,2320 тыс. pуб.
1,"Автозаводский, 18Б квартал",8/26,42,17,10,УЛУ/КИР,2320 тыс. pуб.
1,"Автозаводский, 18Б квартал",18/26,43,17,10,УЛУ/КИР,2320 тыс. pуб.
1,"Автозаводский, 1 квартал",2/5,31,18,6,СТМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 6 квартал",2/9,33,17,6,СТМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 6 квартал",2/9,33,17,6,СТМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 6 квартал",4/5,32,17,7,СТМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 5 квартал",2/5,32,17,7,СТМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 4 квартал",1/9,34,17,6,МСК/ПАН,2350 тыс. pуб.
1,"Автозаводский, 3Б квартал",5/5,36,20,9,УЛУ/КИР,2350 тыс. pуб.
1,"Автозаводский, 11 квартал",8/9,34,17,8,МСК/ПАН,2350 тыс. pуб.
1,"Автозаводский, 10 квартал",9/9,35,20,7,МСК/ПАН,2350 тыс. pуб.
1,"Автозаводский, 10 квартал",4/5,0,0,0,СТМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 9 квартал",1/9,34,17,8,МСК/ПАН,2350 тыс. pуб.
1,"Автозаводский, 17 квартал",2/10,30,14,0,САМ/ПАН,2350 тыс. pуб.
1,"Автозаводский, 17 квартал",16/16,38,20,10,ЛЕН/ПАН,2350 тыс. pуб.
1,"Автозаводский, 16 квартал",8/9,33,17,8,МСК/ПАН,2350 тыс. pуб.
1,"Автозаводский, 20 квартал",8/9,30,14,9,МСК/ПАН,2350 тыс. pуб.
1,"Автозаводский, 18Б квартал",13/26,43,19,11,УЛУ/КИР,2360 тыс. pуб.
1,"Автозаводский, 18Б квартал",14/26,44,18,10,УЛУ/КИР,2360 тыс. pуб.
1,"Автозаводский, 18Б квартал",2/26,43,18,10,УЛУ/КИР,2360 тыс. pуб.
1,"Автозаводский, 4 квартал",1/9,33,17,9,МСК/ПАН,2390 тыс. pуб.
1,"Автозаводский, 14 квартал",16/16,32,17,8,ТАШ/ПАН,2390 тыс. pуб.
1,"Автозаводский, 5 квартал",7/9,32,17,7,МСК/ПАН,2399 тыс. pуб.
1,"Автозаводский, 2 квартал",2/9,37,20,8,МСК/ПАН,2399 тыс. pуб.
1,"Автозаводский, 5 квартал",1/9,33,17,10,МСК/ПАН,2400 тыс. pуб.
1,"Автозаводский, 5 квартал",1/9,33,17,9,МСК/ПАН,2400 тыс. pуб.
1,"Автозаводский, 2 квартал",5/5,35,17,10,УЛУ/КИР,2400 тыс. pуб.
1,"Автозаводский, 9 квартал",5/5,30,17,6,СТМ/ПАН,2400 тыс. pуб.
